grid_x,grid_y,nb_trp_inside,impact_trp_aller,s_nb_trp_inside,impact_trp_aller
3,9,0,0.0,0,0.0
4,2,1,0.0000333441,6,0.0000333441
4,9,0,0.0,0,0.0
32,9,0,0.0,0,0.0
5,9,1,0.0,1,0.0
33,9,0,0.0,0,0.0
6,9,1,0.0,188,0.0
34,9,0,0.0,0,0.0
7,9,1,0.0,97,0.0
35,9,0,0.0,0,0.0
8,9,1,0.0,40,0.0
0,10,0,0.0,0,0.0
9,9,1,0.0,8,0.0
1,10,0,0.0,0,0.0
10,9,1,0.0,14,0.0
2,10,0,0.0,0,0.0
11,9,1,0.0,133,0.0
3,10,0,0.0,0,0.0
12,9,1,0.0,12,0.0
4,10,0,0.0,0,0.0
13,9,1,0.0,10,0.0
5,10,1,0.0,42,0.0
14,9,1,0.0,50,0.0
6,10,1,0.0,87,0.0
15,9,1,0.0,1,0.0
7,10,0,0.0,0,0.0
16,9,1,0.0,11,0.0
8,10,0,0.0,0,0.0
17,9,1,0.0,27,0.0
9,10,0,0.0,0,0.0
18,9,1,0.0,2,0.0
10,10,1,0.0,25,0.0
11,10,1,0.0,131,0.0
19,9,1,0.0,57,0.0
12,10,1,0.0,20,0.0
20,9,1,0.0,54,0.0
13,10,1,0.0,7,0.0
21,9,1,0.0,9,0.0
14,10,0,0.0,0,0.0
22,9,1,0.0,45,0.0
15,10,0,0.0,0,0.0
23,9,1,0.0,27,0.0
16,10,0,0.0,0,0.0
24,9,1,0.0,21,0.0
17,10,0,0.0,0,0.0
25,9,0,0.0,0,0.0
18,10,0,0.0,0,0.0
24,6,2,0.0000318869,16,0.0000318869
19,10,0,0.0,0,0.0
27,7,2,0.000002825,19,0.000002825
20,10,0,0.0,0,0.0
21,10,0,0.0,0,0.0
28,9,1,0.0,11,0.0
22,10,0,0.0,0,0.0
21,1,2,0.0000220549,8,0.0000220549
23,10,1,0.0,7,0.0
27,9,1,0.0000477696,89,0.0000477696
24,10,1,0.0,13,0.0
10,4,1,0.0000431943,9,0.0000431943
25,10,1,0.0,2,0.0
32,9,0,0.0,0,0.0
26,10,1,0.0,5,0.0
33,9,0,0.0,0,0.0
30,12,1,0.0000163004,4,0.0000163004
34,9,0,0.0,0,0.0
31,8,1,0.000015805,3,0.000015805
35,9,0,0.0,0,0.0
29,9,2,0.0000310154,15,0.0000310154
0,10,0,0.0,0,0.0
24,3,1,0.0000171179,9,0.0000171179
1,10,0,0.0,0,0.0
32,10,1,0.0000326256,3,0.0000326256
2,10,0,0.0,0,0.0
32,10,1,0.0,3,0.0
3,10,0,0.0,0,0.0
33,10,0,0.0,0,0.0
4,10,0,0.0,0,0.0
34,10,0,0.0,0,0.0
5,10,1,0.0,43,0.0
35,10,0,0.0,0,0.0
6,10,1,0.0,82,0.0
0,11,0,0.0,0,0.0
7,10,0,0.0,0,0.0
1,11,0,0.0,0,0.0
8,10,0,0.0,0,0.0
2,11,0,0.0,0,0.0
9,10,0,0.0,0,0.0
3,11,0,0.0,0,0.0
10,10,1,0.0,11,0.0
4,11,0,0.0,0,0.0
11,10,1,0.0,132,0.0
5,11,1,0.0,159,0.0
12,10,1,0.0,7,0.0
6,11,0,0.0,0,0.0
13,10,0,0.0,0,0.0
7,11,0,0.0,0,0.0
14,10,0,0.0,0,0.0
8,11,0,0.0,0,0.0
15,10,0,0.0,0,0.0
9,11,1,0.0,36,0.0
16,10,0,0.0,0,0.0
10,11,1,0.0,165,0.0
17,10,0,0.0,0,0.0
11,11,1,0.0,35,0.0
18,10,0,0.0,0,0.0
12,11,1,0.0,1,0.0
19,10,0,0.0,0,0.0
13,11,0,0.0,0,0.0
20,10,0,0.0,0,0.0
14,11,0,0.0,0,0.0
21,10,0,0.0,0,0.0
15,11,0,0.0,0,0.0
22,10,0,0.0,0,0.0
16,11,0,0.0,0,0.0
